locator,scanner_source,scanner_type,scanner_id,last_seen,status,CVE,CVE-title,CVSS,CVSS-Text,CVSS-temporal,CVSS-vector-string,device-id,device-name,device-ip,device-mac,device-custom-name,device-tags,OS,OS-Version,CVE-description,CVE-solution,finding_id,finding_scanner_type,finding_created,finding_severity,risk_score,risk_score_best_achievable
192.168.234.30,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2021-22681,28/03/2025,open,CVE-2021-22681,Insufficiently protected credentials in Logix controllers,9.8,Critical,None,None,11cf6a6b-4263-46e6-938a-d6cc4d1bc35b,EWONPLC | 1769-L24ER-QBFC1B/B LOGIX5324ER,192.168.234.30,['08:61:95:a9:06:29'],None,"Controller,Rockwell Automation",None,None,Studio 5000 Logix Designer uses a key to verify Logix controllers are communicating with the affected Rockwell Automation products. The product is vulnerable because an unauthenticated attacker could bypass this verification mechanism and authenticate with Logix controllers.,"•  ControlLogix 5580 v32 or later: 
•	Put controller’s mode switch to “Run” mode.
•	If the above cannot be deployed, the followings mitigations are recommended: 
o	Deploy CIP Security for Logix Designer connections through the front port. CIP Security prevents unauthorized connection when deployed properly.
o	If not using the front port, use a 1756-EN4TR ControlLogix Ethernet/IP Module and deploy CIP Security. The 1756-EN4TR supports CIP Security which prevents unauthorized connections when properly deployed.

•  ControlLogix 5580 v31: 
•	Put controller’s mode switch to “Run” mode.
•	If the above cannot be deployed, the following mitigations are recommended: 
o	Apply v32 or later and follow mitigations actions outlined above.
o	If unable to apply a newer version, use a 1756-EN4TR ControlLogix EtherNet/IP Module and deploy CIP Security. The 1756-EN4TR supports CIP Security, which prevents unauthorized connections when properly deployed.

•  ControlLogix 5570 v31 or later: 
•	Put controller’s mode switch to “Run” mode.
•	If the above cannot be deployed, the following mitigations are recommended: 
o	Use a 1756-EN4TR ControlLogix EtherNet/IP Module and deploy CIP Security. The 1756-EN4TR supports CIP Security, which prevents unauthorized connections when properly deployed.

•  ControlLogix 5580 v28-v30, ControlLogix 5570 v18 or later, ControlLogix 5560 v16 or later, ControlLogix 5550 v16, GuardLogix 5580 v31 or later, GuardLogix 5570 v20 or later, GuardLogix 5560 v16 or later, 1768 CompactLogix v16 or later, 1769 CompactLogix v16 or later, CompactLogix 5370 v20 or later, CompactLogix 5380 v28 or later, CompactLogix 5480 v32 or later, Compact GuardLogix 5370 v28 or later, Compact GuardLogix 5380 v31 or later, FlexLogix 1794-L34 v16, DriveLogix 5370 v16 or later. 
•	Put controller’s mode switch to “Run” mode.

•  SoftLogix 5800: No additional mitigation available. Follow the Converged Plantwide Ethernet (CPwE) Design and Implementation Guide.",11cf6a6b-4263-46e6-938a-d6cc4d1bc35b_CVE-2021-22681_28/03/2025,CyberVision,28/03/2025,Critical,77,None
192.168.234.30,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2019-12261,28/03/2025,open,CVE-2019-12261,VxWorks TCP/IP Stack (IPNET) Urgent/11 Vulnerabilities - TCP Urgent Pointer State Confusion during connect() to remote host,9.8,Critical,None,None,11cf6a6b-4263-46e6-938a-d6cc4d1bc35b,EWONPLC | 1769-L24ER-QBFC1B/B LOGIX5324ER,192.168.234.30,['08:61:95:a9:06:29'],None,"Controller,Rockwell Automation",None,None,"Wind River VxWorks 6.7 though 6.9 and vx7 has a Buffer Overflow in the TCP component (issue 3 of 4). This is an IPNET security vulnerability: TCP Urgent Pointer state confusion during connect() to a remote host.

A threat actor could utilize this vulnerability to cause a buffer overflow and result in a crash the application that reads from the affected TCP socket, or could potentially allow the execution of arbitrary code on the affected device.",Please refer to the associated manufacturer's advisory.,11cf6a6b-4263-46e6-938a-d6cc4d1bc35b_CVE-2019-12261_28/03/2025,CyberVision,28/03/2025,Critical,77,None
192.168.234.30,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2019-12255,28/03/2025,open,CVE-2019-12255,VxWorks TCP/IP Stack (IPNET) Urgent/11 Vulnerabilities - TCP Urgent Pointer = 0 leads to Integer underflow,9.8,Critical,None,None,11cf6a6b-4263-46e6-938a-d6cc4d1bc35b,EWONPLC | 1769-L24ER-QBFC1B/B LOGIX5324ER,192.168.234.30,['08:61:95:a9:06:29'],None,"Controller,Rockwell Automation",None,None,"Wind River VxWorks 6.6 through 6.9 has a Buffer Overflow in the TCP component (issue 1 of 4). This is a IPNET security vulnerability: TCP Urgent Pointer = 0 that leads to an integer underflow.

A remote, unauthenticated threat actor could either hijack an existing TCP session or establish a new TCP session to inject malformed TCP packets to the device, resulting in a denial of service condition to the application, or could allow the execution of arbitrary code on the affected device. Products implementing non-executable memory mitigations reduce the risk of exploitation.",Please refer to the associated manufacturer's advisory,11cf6a6b-4263-46e6-938a-d6cc4d1bc35b_CVE-2019-12255_28/03/2025,CyberVision,28/03/2025,Critical,77,None
192.168.234.30,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2022-1161,28/03/2025,open,CVE-2022-1161,Inclusion of Functionality from Untrusted Control Sphere Vulnerability in Rockwell Automation Logix Controllers,9.8,Critical,None,None,11cf6a6b-4263-46e6-938a-d6cc4d1bc35b,EWONPLC | 1769-L24ER-QBFC1B/B LOGIX5324ER,192.168.234.30,['08:61:95:a9:06:29'],None,"Controller,Rockwell Automation",None,None,"An attacker with the ability to modify a user program may change user program code on some ControlLogix, CompactLogix, and GuardLogix Control systems. Studio 5000 Logix Designer writes user-readable program code to a separate location than the executed compiled code, allowing an attacker to change one and not the other.","Rockwell Automation will inform customers of updated software as soon as available. Until then, customers using the affected software are directed towards risk mitigation and are encouraged, when possible, to combine this guidance with the general security guidelines for a comprehensive defense in depth strategy.",11cf6a6b-4263-46e6-938a-d6cc4d1bc35b_CVE-2022-1161_28/03/2025,CyberVision,28/03/2025,Critical,77,None
192.168.234.30,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2019-12262,28/03/2025,open,CVE-2019-12262,VxWorks TCP/IP Stack (IPNET) Urgent/11 Vulnerabilities - Handling of unsolicited Reverse ARP replies (Logical Flaw),9.8,Critical,None,None,11cf6a6b-4263-46e6-938a-d6cc4d1bc35b,EWONPLC | 1769-L24ER-QBFC1B/B LOGIX5324ER,192.168.234.30,['08:61:95:a9:06:29'],None,"Controller,Rockwell Automation",None,None,"Wind River VxWorks 6.6, 6.7, 6.8, 6.9 and 7 has Incorrect Access Control in the RARP client component. IPNET security vulnerability: Handling of unsolicited Reverse ARP replies (Logical Flaw).

A threat actor on the same LAN as the victim system can send reverse-ARP responses to the victim system and assign IPv4 addresses to the target, which could potentially result in network connectivity issues if any of the ARP values collide.",Please refer to the associated manufacturer's advisory.,11cf6a6b-4263-46e6-938a-d6cc4d1bc35b_CVE-2019-12262_28/03/2025,CyberVision,28/03/2025,Critical,77,None
192.168.234.30,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2019-12257,28/03/2025,open,CVE-2019-12257,VxWorks TCP/IP Stack (IPNET) Urgent/11 Vulnerabilities - Heap Overflow in DHCP Offet/ACK parsing inside Ipdhcpc,8.8,High,None,None,11cf6a6b-4263-46e6-938a-d6cc4d1bc35b,EWONPLC | 1769-L24ER-QBFC1B/B LOGIX5324ER,192.168.234.30,['08:61:95:a9:06:29'],None,"Controller,Rockwell Automation",None,None,"Wind River VxWorks 6.6 through 6.9 has a Buffer Overflow in the DHCP client component. There is an IPNET security vulnerability: Heap overflow in DHCP Offer/ACK parsing inside ipdhcpc.

A remote, unauthenticated threat actor could utilize this vulnerability overwrite the heap, which may result in a crash later on when a task requests memory from the heap.",Please refer to the associated manufacturer's advisory,11cf6a6b-4263-46e6-938a-d6cc4d1bc35b_CVE-2019-12257_28/03/2025,CyberVision,28/03/2025,High,77,None
192.168.234.30,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2019-12263,28/03/2025,open,CVE-2019-12263,VxWorks TCP/IP Stack (IPNET) Urgent/11 Vulnerabilities - TCP Urgent Pointer State Confusion due to Race Condition,8.1,High,None,None,11cf6a6b-4263-46e6-938a-d6cc4d1bc35b,EWONPLC | 1769-L24ER-QBFC1B/B LOGIX5324ER,192.168.234.30,['08:61:95:a9:06:29'],None,"Controller,Rockwell Automation",None,None,"Wind River VxWorks 6.9.4 and vx7 has a Buffer Overflow in the TCP component (issue 4 of 4). There is an IPNET security vulnerability: TCP Urgent Pointer state confusion due to race condition.

A threat actor could utilize this vulnerability to cause a buffer overflow and result in a crash the application that reads from the affected TCP socket, or could potentially allow the execution of arbitrary code on the affected device.",Please refer to the associated manufacturer's advisory.,11cf6a6b-4263-46e6-938a-d6cc4d1bc35b_CVE-2019-12263_28/03/2025,CyberVision,28/03/2025,High,77,None
192.168.234.30,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2019-12258,28/03/2025,open,CVE-2019-12258,VxWorks TCP/IP Stack (IPNET) Urgent/11 Vulnerabilities - DoS of TCP connection via malformed TCP options,7.5,High,None,None,11cf6a6b-4263-46e6-938a-d6cc4d1bc35b,EWONPLC | 1769-L24ER-QBFC1B/B LOGIX5324ER,192.168.234.30,['08:61:95:a9:06:29'],None,"Controller,Rockwell Automation",None,None,"Wind River VxWorks 6.6 through vx7 has Session Fixation in the TCP component. This is a IPNET security vulnerability: DoS of TCP connection via malformed TCP options.

A remote, unauthenticated threat actor who is able to figure out the source and destination TCP port and IP addresses of a session could potentially inject invalid TCP segments which cause the TCP session to be reset, resulting in a crash of the application that is reading from the affected socket.",Please refer to the associated manufacturer's advisory.,11cf6a6b-4263-46e6-938a-d6cc4d1bc35b_CVE-2019-12258_28/03/2025,CyberVision,28/03/2025,High,77,None
192.168.234.30,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2019-12264,28/03/2025,open,CVE-2019-12264,VxWorks TCP/IP Stack (IPNET) Urgent/11 Vulnerabilities - Logical Flaw in IPv4 assignment by the ipdhcpc DHCP client,7.1,High,None,None,11cf6a6b-4263-46e6-938a-d6cc4d1bc35b,EWONPLC | 1769-L24ER-QBFC1B/B LOGIX5324ER,192.168.234.30,['08:61:95:a9:06:29'],None,"Controller,Rockwell Automation",None,None,"Wind River VxWorks 6.6, 6.7, 6.8, 6.9.3, 6.9.4, and Vx7 has Incorrect Access Control in IPv4 assignment by the ipdhcpc DHCP client component.

A threat actor on the same LAN as the victim system could hijack a DHCP client session which may result in the victim incorrectly assigning a multicast IP address that originated from the threat actor.",Please refer to the associated manufacturer's advisory.,11cf6a6b-4263-46e6-938a-d6cc4d1bc35b_CVE-2019-12264_28/03/2025,CyberVision,28/03/2025,High,77,None
192.168.234.30,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2016-2279,28/03/2025,open,CVE-2016-2279,Rockwell Automation Allen-Bradley CompactLogix Reflective Cross-Site Scripting Vulnerability,6.1,Medium,None,None,11cf6a6b-4263-46e6-938a-d6cc4d1bc35b,EWONPLC | 1769-L24ER-QBFC1B/B LOGIX5324ER,192.168.234.30,['08:61:95:a9:06:29'],None,"Controller,Rockwell Automation",None,None,"The vulnerability in the CompactLogix’s webserver allows an attacker to inject arbitrary JavaScript into an unsuspecting user’s web browser. The target of this type of attack is not the CompactLogix itself. Instead, the CompactLogix is a vehicle to deliver an attack to the web browser.","Rockwell Automation recommends that users of 1769-L23E-QB1B migrate to 1769-L24ER-BB1B and users of 1769-L23E-QBFC1B migrate to 1769-L24ER-QBFC1B.
For the other affected versions listed above, Rockwell Automation recommends that users apply firmware Version 28.011+",11cf6a6b-4263-46e6-938a-d6cc4d1bc35b_CVE-2016-2279_28/03/2025,CyberVision,28/03/2025,Medium,77,None
